cust_id,sales_total,num_of_orders,gender
100001,800.64,3,F
100002,217.53,3,F
100003,74.58,2,M
100004,498.6,3,M
100005,723.11,4,F
100006,69.43,2,F
100007,40.15,2,M
100008,58.61,2,M
100009,364.63,2,F
100010,44.31,2,M
100011,216.41,1,F
100012,157.92,2,F
100013,289.58,1,M
100014,1044.4,7,M
100015,82.3,3,M
100016,90.21,2,M
100017,59.09,2,M
100018,361.38,1,M
100019,37.32,1,M
100020,311.34,3,F
100021,90.84,3,M
100022,580.64,5,M
100023,274.31,2,F
100024,215.06,2,F
100025,202.99,3,F
100026,53.03,2,F
100027,153.87,3,F
100028,149.65,3,M
100029,271.5,3,M
100030,456.17,3,F
